date,mac,provider,access_point,signal_strength,"quality,unknown2",frequency,stations,device,station_count
06/12/2021 12:45:05,00:3A:7D:12:43:D0,"""""","""eduroam""",-77,46,,"""Ch 11 [2.462 GHz]""","""2 Stations, 51Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:05,84:3D:C6:BD:59:2F,"""""","""eduroam""",-80,38,,"""Ch 140 [5.700 GHz]""","""8 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","8
"
06/12/2021 12:45:05,84:3D:C6:B9:3A:90,"""""","""eduroam""",-76,50,,"""Ch 6 [2.437 GHz]""","""1 Station, 29Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:05,84:3D:C6:B9:1A:60,"""""","""eduroam""",-69,70,,"""Ch 6 [2.437 GHz]""","""0 Stations, 33Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,84:3D:C6:B9:21:90,"""""","""eduroam""",-59,83,,"""Ch 1 [2.412 GHz]""","""0 Stations, 34Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,84:3D:C6:B4:DF:30,"""""","""eduroam""",-51,87,,"""Ch 1 [2.412 GHz]""","""1 Station, 33Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:05,84:3D:C6:C7:EF:5F,"""""","""eduroam""",-72,62,,"""Ch 116 [5.580 GHz]""","""2 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:05,84:3D:C6:B9:21:9F,"""""","""eduroam""",-69,70,,"""Ch 132 [5.660 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,00:3A:7D:34:7B:40,"""""","""eduroam""",-75,53,,"""Ch 1 [2.412 GHz]""","""0 Stations, 38Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,84:3D:C6:C7:BB:70,"""""","""eduroam""",-54,86,,"""Ch 11 [2.462 GHz]""","""1 Station, 28Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:05,84:3D:C6:BD:59:20,"""""","""eduroam""",-67,75,,"""Ch 11 [2.462 GHz]""","""0 Stations, 17Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,84:3D:C6:C7:EF:50,"""""","""eduroam""",-64,80,,"""Ch 11 [2.462 GHz]""","""0 Stations, 32Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,00:3A:7D:21:46:20,"""""","""eduroam""",-72,62,,"""Ch 1 [2.412 GHz]""","""0 Stations, 66Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,84:3D:C6:B9:2A:9F,"""""","""eduroam""",-78,43,,"""Ch 108 [5.540 GHz]""","""1 Station, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:05,84:3D:C6:C7:BB:7F,"""""","""eduroam""",-60,82,,"""Ch 64 [5.320 GHz]""","""1 Station, 1Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:05,00:3A:7D:34:7B:4F,"""""","""eduroam""",-83,31,,"""Ch 100 [5.500 GHz]""","""0 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,84:3D:C6:B9:3A:9F,"""""","""eduroam""",-85,26,,"""Ch 44 [5.220 GHz]""","""5 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","5
"
06/12/2021 12:45:05,84:3D:C6:B9:26:8F,"""""","""eduroam""",-85,26,,"""Ch 40 [5.200 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,84:3D:C6:B9:1A:6F,"""""","""eduroam""",-77,46,,"""Ch 52 [5.260 GHz]""","""0 Stations, 7Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:05,84:3D:C6:B4:DF:3F,"""""","""eduroam""",-71,65,,"""Ch 48 [5.240 GHz]""","""3 Stations, 7Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","3
"
06/12/2021 12:45:05,84:3D:C6:AD:80:C0,"""""","""eduroam""",-78,43,,"""Ch 6 [2.437 GHz]""","""2 Stations, 41Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:05,84:3D:C6:B9:26:80,"""""","""eduroam""",-78,43,,"""Ch 6 [2.437 GHz]""","""1 Station, 34Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:05,84:3D:C6:BD:41:10,"""""","""eduroam""",-81,35,,"""Ch 11 [2.462 GHz]""","""0 Stations, 23Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:B9:2A:90,"""""","""eduroam""",-69,70,,"""Ch 1 [2.412 GHz]""","""1 Station, 34Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:10,84:3D:C6:AD:AE:A0,"""""","""eduroam""",-68,72,,"""Ch 1 [2.412 GHz]""","""0 Stations, 54Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,00:3A:7D:12:43:D0,"""""","""eduroam""",-77,46,,"""Ch 11 [2.462 GHz]""","""2 Stations, 51Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:10,84:3D:C6:BD:59:2F,"""""","""eduroam""",-87,22,,"""Ch 140 [5.700 GHz]""","""8 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","8
"
06/12/2021 12:45:10,84:3D:C6:B9:3A:90,"""""","""eduroam""",-76,50,,"""Ch 6 [2.437 GHz]""","""1 Station, 29Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:10,84:3D:C6:B9:1A:60,"""""","""eduroam""",-66,78,,"""Ch 6 [2.437 GHz]""","""0 Stations, 35Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:B9:21:90,"""""","""eduroam""",-63,81,,"""Ch 1 [2.412 GHz]""","""0 Stations, 36Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:B4:DF:30,"""""","""eduroam""",-51,87,,"""Ch 1 [2.412 GHz]""","""1 Station, 43Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:10,84:3D:C6:C7:EF:5F,"""""","""eduroam""",-76,50,,"""Ch 116 [5.580 GHz]""","""2 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:10,84:3D:C6:B9:21:9F,"""""","""eduroam""",-65,80,,"""Ch 132 [5.660 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,00:3A:7D:34:7B:40,"""""","""eduroam""",-75,53,,"""Ch 1 [2.412 GHz]""","""0 Stations, 38Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:C7:BB:70,"""""","""eduroam""",-57,84,,"""Ch 11 [2.462 GHz]""","""1 Station, 31Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:10,84:3D:C6:BD:59:20,"""""","""eduroam""",-64,80,,"""Ch 11 [2.462 GHz]""","""0 Stations, 24Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:C7:EF:50,"""""","""eduroam""",-67,75,,"""Ch 11 [2.462 GHz]""","""0 Stations, 35Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,00:3A:7D:21:46:20,"""""","""eduroam""",-72,62,,"""Ch 1 [2.412 GHz]""","""0 Stations, 66Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:B9:2A:9F,"""""","""eduroam""",-72,62,,"""Ch 108 [5.540 GHz]""","""1 Station, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:10,84:3D:C6:C7:BB:7F,"""""","""eduroam""",-56,85,,"""Ch 64 [5.320 GHz]""","""1 Station, 1Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:10,00:3A:7D:34:7B:4F,"""""","""eduroam""",-83,31,,"""Ch 100 [5.500 GHz]""","""0 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:B9:3A:9F,"""""","""eduroam""",-85,26,,"""Ch 44 [5.220 GHz]""","""4 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","4
"
06/12/2021 12:45:10,84:3D:C6:B9:26:8F,"""""","""eduroam""",-85,26,,"""Ch 40 [5.200 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:B9:1A:6F,"""""","""eduroam""",-75,53,,"""Ch 52 [5.260 GHz]""","""0 Stations, 11Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:10,84:3D:C6:B4:DF:3F,"""""","""eduroam""",-67,75,,"""Ch 48 [5.240 GHz]""","""3 Stations, 7Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","3
"
06/12/2021 12:45:10,84:3D:C6:AD:80:C0,"""""","""eduroam""",-78,43,,"""Ch 6 [2.437 GHz]""","""2 Stations, 41Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:10,84:3D:C6:B9:26:80,"""""","""eduroam""",-78,43,,"""Ch 6 [2.437 GHz]""","""1 Station, 34Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:10,84:3D:C6:BD:41:10,"""""","""eduroam""",-81,35,,"""Ch 11 [2.462 GHz]""","""0 Stations, 23Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:B9:2A:90,"""""","""eduroam""",-64,80,,"""Ch 1 [2.412 GHz]""","""1 Station, 38Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:15,84:3D:C6:AD:AE:A0,"""""","""eduroam""",-68,72,,"""Ch 1 [2.412 GHz]""","""0 Stations, 54Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,00:3A:7D:12:43:D0,"""""","""eduroam""",-77,46,,"""Ch 11 [2.462 GHz]""","""2 Stations, 50Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:15,84:3D:C6:BD:59:2F,"""""","""eduroam""",-77,46,,"""Ch 140 [5.700 GHz]""","""9 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","9
"
06/12/2021 12:45:15,84:3D:C6:B9:3A:90,"""""","""eduroam""",-76,50,,"""Ch 6 [2.437 GHz]""","""1 Station, 29Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:15,84:3D:C6:B9:1A:60,"""""","""eduroam""",-68,72,,"""Ch 6 [2.437 GHz]""","""0 Stations, 35Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:B9:21:90,"""""","""eduroam""",-61,82,,"""Ch 1 [2.412 GHz]""","""0 Stations, 38Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:B4:DF:30,"""""","""eduroam""",-52,87,,"""Ch 1 [2.412 GHz]""","""1 Station, 42Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:15,84:3D:C6:C7:EF:5F,"""""","""eduroam""",-73,60,,"""Ch 116 [5.580 GHz]""","""2 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:15,84:3D:C6:B9:21:9F,"""""","""eduroam""",-68,72,,"""Ch 132 [5.660 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,00:3A:7D:34:7B:40,"""""","""eduroam""",-74,57,,"""Ch 1 [2.412 GHz]""","""0 Stations, 35Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:C7:BB:70,"""""","""eduroam""",-54,86,,"""Ch 11 [2.462 GHz]""","""1 Station, 36Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:15,84:3D:C6:BD:59:20,"""""","""eduroam""",-72,62,,"""Ch 11 [2.462 GHz]""","""0 Stations, 28Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:C7:EF:50,"""""","""eduroam""",-65,80,,"""Ch 11 [2.462 GHz]""","""0 Stations, 40Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,00:3A:7D:21:46:20,"""""","""eduroam""",-72,62,,"""Ch 1 [2.412 GHz]""","""0 Stations, 66Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:B9:2A:9F,"""""","""eduroam""",-80,38,,"""Ch 108 [5.540 GHz]""","""1 Station, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:15,84:3D:C6:C7:BB:7F,"""""","""eduroam""",-61,82,,"""Ch 64 [5.320 GHz]""","""2 Stations, 5Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:15,00:3A:7D:34:7B:4F,"""""","""eduroam""",-85,26,,"""Ch 100 [5.500 GHz]""","""0 Stations, 1Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:B9:3A:9F,"""""","""eduroam""",-85,26,,"""Ch 44 [5.220 GHz]""","""4 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","4
"
06/12/2021 12:45:15,84:3D:C6:B9:26:8F,"""""","""eduroam""",-86,24,,"""Ch 40 [5.200 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:B9:1A:6F,"""""","""eduroam""",-76,50,,"""Ch 52 [5.260 GHz]""","""0 Stations, 7Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:B4:DF:3F,"""""","""eduroam""",-70,67,,"""Ch 48 [5.240 GHz]""","""3 Stations, 7Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","3
"
06/12/2021 12:45:15,84:3D:C6:AD:80:C0,"""""","""eduroam""",-78,43,,"""Ch 6 [2.437 GHz]""","""2 Stations, 41Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:15,84:3D:C6:B9:26:80,"""""","""eduroam""",-78,43,,"""Ch 6 [2.437 GHz]""","""0 Stations, 48Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:15,84:3D:C6:BD:41:10,"""""","""eduroam""",-81,35,,"""Ch 11 [2.462 GHz]""","""0 Stations, 23Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:20,84:3D:C6:B9:2A:90,"""""","""eduroam""",-68,72,,"""Ch 1 [2.412 GHz]""","""1 Station, 34Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:20,84:3D:C6:AD:AE:A0,"""""","""eduroam""",-68,72,,"""Ch 1 [2.412 GHz]""","""0 Stations, 54Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:20,00:3A:7D:12:43:D0,"""""","""eduroam""",-83,31,,"""Ch 11 [2.462 GHz]""","""2 Stations, 53Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:20,84:3D:C6:BD:59:2F,"""""","""eduroam""",-85,26,,"""Ch 140 [5.700 GHz]""","""9 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","9
"
06/12/2021 12:45:20,84:3D:C6:B9:3A:90,"""""","""eduroam""",-76,50,,"""Ch 6 [2.437 GHz]""","""1 Station, 29Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:20,84:3D:C6:B9:1A:60,"""""","""eduroam""",-66,78,,"""Ch 6 [2.437 GHz]""","""0 Stations, 36Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:20,84:3D:C6:B9:21:90,"""""","""eduroam""",-63,81,,"""Ch 1 [2.412 GHz]""","""0 Stations, 39Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:20,84:3D:C6:B4:DF:30,"""""","""eduroam""",-52,87,,"""Ch 1 [2.412 GHz]""","""2 Stations, 40Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:20,84:3D:C6:C7:EF:5F,"""""","""eduroam""",-73,60,,"""Ch 116 [5.580 GHz]""","""2 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","2
"
06/12/2021 12:45:20,84:3D:C6:B9:21:9F,"""""","""eduroam""",-64,80,,"""Ch 132 [5.660 GHz]""","""0 Stations, 0Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:20,00:3A:7D:34:7B:40,"""""","""eduroam""",-74,57,,"""Ch 1 [2.412 GHz]""","""0 Stations, 35Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:20,84:3D:C6:C7:BB:70,"""""","""eduroam""",-54,86,,"""Ch 11 [2.462 GHz]""","""1 Station, 36Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","1
"
06/12/2021 12:45:20,84:3D:C6:BD:59:20,"""""","""eduroam""",-63,81,,"""Ch 11 [2.462 GHz]""","""0 Stations, 29Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
06/12/2021 12:45:20,84:3D:C6:C7:EF:50,"""""","""eduroam""",-68,72,,"""Ch 11 [2.462 GHz]""","""0 Stations, 41Xhannel Utilization""","""WLAN [Intel(R) Wi-Fi 6 AX200 160MHz]""","0
"
